class,tweet
1,!!! As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
0,!!!!! boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
0,!!!!!!! Dawg!!!! You ever fuck a bitch and she start to cry? You be confused as shit
0,!!!!!!!!! she look like a tranny
0,!!!!!!!!!!!!! The shit you hear about me might be true or it might be faker than the bitch who told it to ya ;
0,"!!!!!!!!!!!!!!!!!!""The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! ;;;"""
0,"!!!!!!""I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
0,!!!!;cause I'm tired of you big bitches coming for us skinny girls!!;
0,""" &amp; you might not get ya bitch back &amp; thats that """
0,""" :hobbies include: fighting Mariam""

bitch"
0,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh"
0,""" Murda Gang bitch its Gang Land """
0,""" So hoes that smoke are losers ? "" yea ... go on IG"
0,""" bad bitches is the only thing that i like """
0,""" bitch get up off me """
0,""" bitch nigga miss me with it """
0,""" bitch plz whatever """
0,""" bitch who do you love """
0,""" bitches get cut off everyday B """
0,""" black bottle &amp; a bad bitch """
0,""" broke bitch cant tell me nothing """
0,""" cancel that bitch like Nino """
0,""" cant you see these hoes wont change """
0,""" fuck no that bitch dont even suck dick "" ;;; the Kermit videos bout to fuck IG up"
0,""" got ya bitch tip toeing on my hardwood floors "" ; http://t.co/cOU2WQ5L4q"
0,""" her pussy lips like Heaven doors "" ;"
0,""" hoe what its hitting for """
0,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" ;"
0,""" i need a trippy bitch who fuck on Hennessy """
0,""" i spend my money how i want bitch its my business """
0,""" i txt my old bitch my new bitch pussy wetter """
0,""" i'd say im back to the old me but my old bitches would get excited "" ;"
0,""" if you aint bout that Murder Game pussy nigga shut up """
0,""" if you're toes ain't done you pussy stinks """
0,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """
0,""" is that ya bitch """
0,""" it aint nothing to cut a bitch off """
0,""" jus meet son now he ya mane ass bitches "" #Shots"
0,""" lames crying over hoes thats tears of a clown """
0,""" like Snoop said in 94 we dont love these hoes """
1,""" momma said no pussy cats inside my doghouse """
0,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC"
0,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U"
0,""" pimps up pimps up hoes down "" Future voice"
0,""" post a picture of that pussy get 200 likes """
0,""" pussy is a powerful drug "" ; #HappyHumpDay http://t.co/R8jsymiB5b"
0,""" quick piece of pussy call it a drive by """
0,""" running round here like some brand new pussy thats bout to get fucked """
0,""" these bitches even worst they'll send them guys for you """
0,""" these hoes like niggas that spend money not talk bout it """
0,""" we dont trust these niggas all these bitches """
0,""" yall niggas b cuffing hoes cause yall aint never have bitches """
0,""" you dodge a bullet "" ; ;""All da bitches I cut off pregnant or bound to be ....thank God ;"";"
0,""" young Pill Chamberlain these bitches love my music """
0,""";;;;;;;;;;;Teanna Trump probably cleaner than most of these twitter hoes but........."""
0,""";;;;;;;;;;Gay niggas couldn't wait to act like bitches tonight"""
0,""";;;And ima steal his cat n replace it with a pitbull ;;;; He a bitch you should do it"""
0,"""&amp; he's gone always be a hoe"""
0,"""...Son of a bitch took my Tic Tacs.""

I like this movie."
0,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons"
0,"""I probably wouldn;t mind school as much if we didn;t have to deal with bitch ass teachers"". Retweet"
0,"""I'm a fucking fag they said"""
0,"""Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?"
1,"""-SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad"
0,"""Have ya ever asked your bitch for other bitches - kanye voice"" Yes"
0,"""How u gone bring ur side bitch to a game where You know Ya gf friends at ?! ;;;;"" I SWEAR!!!!!"
1,"""http://t.co/3gzUpfuMev"" woof woof and hot soles"
